_id,percentageGain
0,0
1,-2.7395665635105617
2,-2.8949433369113855
3,-2.6949433369113853
4,-2.7600207966158123
5,-2.660020796615812
6,-2.560020796615812
7,-2.839273585671525
8,-1.040136387036478
9,-0.9754560852196004
10,-0.8754560852196004
11,-0.7754560852196004
12,-0.6754560852196003
13,-0.5754560852196003
14,-0.47545608521960037
15,-1.8894289777090885
16,-1.7894289777090884
17,-1.6894289777090883
18,-1.5894289777090884
19,-1.4894289777090883
20,-1.5259556447313942
21,-1.5259556447313942
22,-0.8219975325755261
23,-0.8573172307586486
24,-0.8573172307586486
25,-0.8573172307586486
26,-0.8573172307586486
27,-0.8573172307586486
28,-0.8573172307586486
29,-5.338421788919045
30,-4.838421788919044
31,-4.597712078905979
32,-4.6515677818012735
33,-4.551567781801272
34,-4.588094448823578
35,-4.588094448823578
36,-3.02351841769833
37,-2.858838115881453
38,-3.080656744432693
39,-2.9806567444326935
40,-2.880656744432693
41,-2.7806567444326933
42,-2.6806567444326928
43,-5.892543802140611
44,-6.031349286921192
45,-5.631349286921192
46,-5.821641961544635
47,-5.721641961544635
48,-5.758168628566941
49,-5.758168628566941
50,-3.3072917751685784
51,-3.144925122325407
52,-3.2182363055764576
53,-2.9182363055764577
54,-3.3731816962000485
55,-3.3731816962000485
56,-3.3731816962000485
57,-2.2865846748678584
58,-2.575778348755953
59,-2.375778348755953
60,-2.175778348755953
61,-1.9757783487559528
62,-1.7757783487559535
63,-1.832126231457256
64,-0.2859628988979065
65,-0.6297698926270808
66,-0.42976989262708076
67,-0.3556015056326318
68,-0.25560150563263173
69,-0.15560150563263164
70,-0.055601505632631776
71,-1.3190730187718975
72,-1.1190730187718974
73,-0.9190730187718976
74,-0.7190730187718977
75,-0.5190730187718975
76,-0.5163013716234266
77,-0.41630137162342673
78,0.12013717728374257
79,-0.42883298688684635
80,-0.42883298688684635
81,-0.42883298688684635
82,-0.42883298688684635
83,-0.42883298688684635
84,-0.42883298688684635
85,-5.454445228053885
86,-5.23749511813133
87,-5.30549041805451
88,-5.413958491254573
89,-5.3139584912545725
90,-5.213958491254573
91,-5.113958491254573
92,-1.7723796618901493
93,-1.9219132203735463
94,-1.8874759286756377
95,-1.9708427688630017
96,-1.8708427688630016
97,-1.7708427688630015
98,-1.6708427688630014
99,-6.53101100018532
100,-6.126646559503241
101,-5.52664655950324
102,-4.92664655950324
103,-4.875546869286515
104,-4.675546869286514
105,-4.983294722803205
106,-3.002362180738632
107,-2.6420585334784414
108,-2.307621241780532
109,-2.120780217051094
110,-2.2023419264571227
111,-2.0023419264571225
112,-1.8023419264571225
113,-2.3447953234379164
114,-2.5200250554713
115,-2.0200250554713
116,-1.9001770747474978
117,-1.5001770747474978
118,-1.5448009181576006
119,-1.5974420080708787
120,-0.4463626298185165
121,-0.3701303523539512
122,-0.2445182529064467
123,0.05548174709355336
124,0.0393177320634448
125,0.23931773206344475
126,0.21472288909040949
127,-0.444526428309309
128,-0.175114025372478
129,0.12488597462752205
130,0.42488597462752187
131,0.7248859746275221
132,0.8041808929521925
133,1.0041808929521923
134,0.03344945664263249
135,0.009681734107197748
136,0.03529383355470228
137,0.23529383355470224
138,0.1191298185245937
139,0.21912981852459368
140,0.31912981852459366
141,-4.747179235684616
142,-4.67739952270088
143,-4.277399522700881
144,-4.062679213043722
145,-3.7626792130437208
146,-3.68338429471905
147,-3.48338429471905
148,-1.7764451861957502
149,-1.75936626535472
150,-1.6954599658586393
151,-1.7859336747658623
152,-1.9298564325691805
153,-1.8298564325691808
154,-1.7298564325691803
155,-5.199592262009205
156,-5.024065763123266
157,-4.424065763123266
158,-3.898633407891845
159,-3.9855781263672414
160,-4.2978851356373875
161,-4.197885135637387
162,-2.435284022344657
163,-2.6674526971892574
164,-2.6404959768369167
165,-2.6608237805300994
166,-2.8286774427365518
167,-2.628677442736551
168,-2.4286774427365514
