_id,percentageGain
0,0
1,-0.5228276423330538
2,-0.4588040818783498
3,-0.4588040818783498
4,-0.4588040818783498
5,-0.4588040818783498
6,-0.4588040818783498
7,-0.4588040818783498
8,-0.38623523029021795
9,-0.38623523029021795
10,-0.38623523029021795
11,-0.38623523029021795
12,-0.38623523029021795
13,-0.38623523029021795
14,-0.38623523029021795
15,-0.1280521312105756
16,-0.06402857075587157
17,-0.06402857075587157
18,-0.06402857075587157
19,-0.06402857075587157
20,-0.06402857075587157
21,-0.06402857075587157
22,0.1754949171611711
23,0.14526075911817962
24,0.14526075911817962
25,0.14526075911817962
26,0.14526075911817962
27,0.14526075911817962
28,0.14526075911817962
29,-1.9628375909793034
30,-1.7716667568041193
31,-1.5716667568041194
32,-1.3716667568041196
33,-1.6218114152971435
34,-1.6218114152971435
35,-1.6218114152971435
36,-0.5874971307407987
37,-0.5874971307407987
38,-0.5874971307407987
39,-0.5874971307407987
40,-0.5874971307407987
41,-0.5874971307407987
42,-0.5874971307407987
43,-2.7247943474399046
44,-2.803366624207622
45,-2.603366624207622
46,-2.479856277729608
47,-2.7251235850508957
48,-2.7251235850508957
49,-2.7251235850508957
50,-0.9470737360805649
51,-0.9470737360805649
52,-0.9470737360805649
53,-0.9470737360805649
54,-0.9470737360805649
55,-0.9470737360805649
56,-0.9470737360805649
57,-0.6561267713071453
58,-0.5902274893758839
59,-0.5902274893758839
60,-0.5902274893758839
61,-0.5902274893758839
62,-0.5902274893758839
63,-0.5902274893758839
64,-0.6472995192328865
65,-0.6472995192328865
66,-0.6472995192328865
67,-0.6472995192328865
68,-0.6472995192328865
69,-0.6472995192328865
70,-0.6472995192328865
71,-0.3680188994590553
72,-0.30211961752779404
73,-0.30211961752779404
74,-0.30211961752779404
75,-0.30211961752779404
76,-0.30211961752779404
77,-0.30211961752779404
78,0.1363453951398757
79,0.23634539513987568
80,0.057835080679583234
81,0.057835080679583234
82,0.057835080679583234
83,0.057835080679583234
84,0.057835080679583234
85,-1.9218662734004504
86,-1.9101043968895492
87,-1.8101043968895492
88,-1.710104396889549
89,-2.1632525289107924
90,-2.1632525289107924
91,-2.1632525289107924
92,-0.7914430956803732
93,-0.7914430956803732
94,-0.7914430956803732
95,-0.7914430956803732
96,-0.7914430956803732
97,-0.7914430956803732
98,-0.7914430956803732
99,-2.568419038736258
100,-3.0875148879822585
101,-2.987514887982259
102,-2.8875148879822587
103,-3.319200636444924
104,-3.319200636444924
105,-3.319200636444924
106,-0.9260522753362016
107,-0.9260522753362016
108,-0.9260522753362016
109,-0.9260522753362016
110,-0.9260522753362016
111,-0.9260522753362016
112,-0.9260522753362016
113,-1.0301268745809227
114,-1.2146783895740834
115,-1.1146783895740833
116,-1.0146783895740834
117,-0.9146783895740833
118,-1.038247381356573
119,-1.038247381356573
120,-0.6416270395217564
121,-0.6416270395217564
122,-0.6416270395217564
123,-0.6416270395217564
124,-0.6416270395217564
125,-0.6416270395217564
126,-0.6416270395217564
127,-0.06110991401842619
128,0.038890085981573785
129,0.13889008598157376
130,0.23889008598157374
131,0.17958065158088937
132,0.17958065158088937
133,0.17958065158088937
134,0.2923949888667001
135,0.3923949888667001
136,0.21017318848154487
137,0.21017318848154487
138,0.21017318848154487
139,0.21017318848154487
140,0.21017318848154487
141,-1.5490028851013482
142,-1.4727169820787955
143,-1.2727169820787956
144,-1.0727169820787956
145,-1.6021060473177375
146,-1.7256750391002271
147,-1.7256750391002271
148,-0.22688196653357406
149,-0.02688196653357411
150,-0.2246127233070907
151,-0.39217548882133524
152,-0.39217548882133524
153,-0.39217548882133524
154,-0.39217548882133524
155,-1.8902843734552193
156,-1.7167761695889447
157,-1.5507068804124808
158,-1.3507068804124809
159,-1.5577328926311516
160,-1.8121251826537745
161,-1.8121251826537745
162,-0.8010544672377544
163,-0.9459338343187127
164,-0.9459338343187127
165,-0.9459338343187127
166,-0.9459338343187127
167,-0.9459338343187127
168,-0.9459338343187127
